Date,Close
1/3/2006,61.03
1/4/2006,61.39
1/5/2006,61.5
1/6/2006,62.16
1/9/2006,62.29
1/10/2006,62.16
1/11/2006,61.65
1/12/2006,60.88
1/13/2006,60.9
1/17/2006,61.05
1/18/2006,60.34
1/19/2006,61
1/20/2006,60.14
1/23/2006,60.87
1/24/2006,61.83
1/25/2006,62.07
1/26/2006,62.83
1/27/2006,63.33
1/30/2006,63.47
1/31/2006,63.57
2/1/2006,64.02
2/2/2006,62.98
2/3/2006,62.47
2/6/2006,63.49
2/7/2006,62.06
2/8/2006,61.93
2/9/2006,62.19
2/10/2006,62.11
2/13/2006,61.48
2/14/2006,62.77
2/15/2006,62.83
2/16/2006,63.44
2/17/2006,63.48
2/21/2006,63.48
2/22/2006,63.65
2/23/2006,63.62
2/24/2006,63.79
2/27/2006,63.22
2/28/2006,62.63
3/1/2006,63.37
3/2/2006,63.79
3/3/2006,63.88
3/6/2006,63
3/7/2006,62.31
3/8/2006,61.94
3/9/2006,61.76
3/10/2006,62.78
3/13/2006,62.97
3/14/2006,63.94
3/15/2006,64.86
3/16/2006,64.94
3/17/2006,65.09
3/20/2006,64.79
3/21/2006,64.05
3/22/2006,64.61
3/23/2006,64.8
3/24/2006,64.92
3/27/2006,65.29
3/28/2006,64.89
3/29/2006,65.95
3/30/2006,66.27
3/31/2006,65.88
4/3/2006,66.14
4/4/2006,66.57
4/5/2006,67.21
4/6/2006,67.51
4/7/2006,66.66
4/10/2006,66.42
4/11/2006,65.95
4/12/2006,66.33
4/13/2006,66.56
4/17/2006,67.12
4/18/2006,68.93
4/19/2006,69.4
4/20/2006,68.75
4/21/2006,69.36
4/24/2006,69.18
4/25/2006,68.76
4/26/2006,68.69
4/27/2006,67.44
4/28/2006,67.78
5/1/2006,68.33
5/2/2006,68.86
5/3/2006,68.83
5/4/2006,69.52
5/5/2006,69.92
5/8/2006,70.17
5/9/2006,70.72
5/10/2006,70.63
5/11/2006,69.56
5/12/2006,68
5/15/2006,67.02
5/16/2006,66.89
5/17/2006,65.12
5/18/2006,64.43
5/19/2006,64.6
5/22/2006,63.26
5/23/2006,63.41
5/24/2006,63.09
5/25/2006,64.5
5/26/2006,65.41
5/30/2006,63.83
5/31/2006,64.63
6/1/2006,65.48
6/2/2006,66
6/5/2006,63.95
6/6/2006,63.31
6/7/2006,61.91
6/8/2006,61.84
6/9/2006,61.39
6/12/2006,60.05
6/13/2006,58.98
6/14/2006,59.82
6/15/2006,61.83
6/16/2006,61.39
6/19/2006,60.17
6/20/2006,60.34
6/21/2006,61.73
6/22/2006,61.7
6/23/2006,62.14
6/26/2006,62.42
6/27/2006,61.41
6/28/2006,61.62
6/29/2006,64.14
6/30/2006,64.39
7/5/2006,64.55
7/6/2006,64.48
7/7/2006,63.88
7/10/2006,64.08
7/11/2006,64.05
7/12/2006,63.4
7/13/2006,61.53
7/14/2006,61.43
7/17/2006,60.66
7/18/2006,60.98
7/19/2006,62.84
7/20/2006,61.06
7/21/2006,60.03
7/24/2006,61.11
7/25/2006,62.03
7/26/2006,61.79
7/27/2006,60.57
7/28/2006,61.6
7/31/2006,61.94
8/1/2006,61.33
8/2/2006,62.22
8/3/2006,62.55
8/4/2006,62.32
8/7/2006,62.49
8/8/2006,61.8
8/9/2006,61.72
8/10/2006,61.79
8/11/2006,61.26
8/14/2006,61.15
8/15/2006,62.27
8/16/2006,63.44
8/17/2006,63.21
8/18/2006,63.21
8/21/2006,63.15
8/22/2006,63.42
8/23/2006,63.29
8/24/2006,62.71
8/25/2006,63.01
8/28/2006,62.91
8/29/2006,63.26
8/30/2006,63.36
8/31/2006,63.63
9/1/2006,64.39
9/5/2006,64.74
9/6/2006,63.9
9/7/2006,63.18
9/8/2006,63.23
9/11/2006,61.65
9/12/2006,62.51
9/13/2006,63.07
9/14/2006,62.83
9/15/2006,63.01
9/18/2006,63.59
9/19/2006,63.04
9/20/2006,63.47
9/21/2006,62.89
9/22/2006,62.71
9/25/2006,63.08
9/26/2006,64.19
9/27/2006,64.11
9/28/2006,64.34
9/29/2006,63.84
10/2/2006,63.79
10/3/2006,63.03
10/4/2006,63.25
10/5/2006,64.3
10/6/2006,64.56
10/9/2006,65.06
10/10/2006,65.43
10/11/2006,64.82
10/12/2006,65.83
10/13/2006,66.42
10/16/2006,67.01
10/17/2006,66.5
10/18/2006,66.33
10/19/2006,66.95
10/20/2006,66.45
10/23/2006,66.61
10/24/2006,67.51
10/25/2006,67.38
10/26/2006,67.8
10/27/2006,67.59
10/30/2006,67.79
10/31/2006,67.81
11/1/2006,67.3
11/2/2006,67.61
11/3/2006,67.46
11/6/2006,68.28
11/7/2006,68.22
11/8/2006,68.36
11/9/2006,68.83
11/10/2006,68.38
11/13/2006,69.01
11/14/2006,69.07
11/15/2006,69.38
11/16/2006,69.12
11/17/2006,69.08
11/20/2006,69.97
11/21/2006,70.3
11/22/2006,71.07
11/27/2006,69.91
11/28/2006,69.95
11/29/2006,70.87
11/30/2006,71.2
12/1/2006,70.73
12/4/2006,71.75
12/5/2006,72.13
12/6/2006,72.11
12/7/2006,72.37
12/8/2006,72.45
12/11/2006,72.32
12/12/2006,71.39
12/13/2006,71.6
12/14/2006,72.28
12/15/2006,72.69
12/18/2006,70.81
12/19/2006,71.23
12/20/2006,71.05
12/21/2006,70.06
12/22/2006,69.76
12/26/2006,70.34
12/27/2006,71.34
12/28/2006,71.17
12/29/2006,70.51
1/3/2007,70.36
1/4/2007,70
1/5/2007,69.38
1/8/2007,69.48
1/9/2007,69.31
1/10/2007,69.75
1/11/2007,70.65
1/12/2007,71.59
1/16/2007,71.62
1/17/2007,71.82
