Date,Close
1/2/2014,98.76
1/3/2014,99.12
1/6/2014,98.46
1/7/2014,98.99
1/8/2014,98.99
1/9/2014,99.41
1/10/2014,99.78
1/13/2014,98.62
1/14/2014,99.68
1/15/2014,100.45
1/16/2014,100.17
1/17/2014,99.65
1/21/2014,99.83
1/22/2014,100.14
1/23/2014,99.05
1/24/2014,95.91
1/27/2014,95.76
1/28/2014,96.69
1/29/2014,95.65
1/30/2014,96.49
1/31/2014,95.98
2/3/2014,93.16
2/4/2014,93.93
2/5/2014,93.67
2/6/2014,94.91
2/7/2014,96.37
2/10/2014,95.87
2/11/2014,96.87
2/12/2014,97.39
2/13/2014,97.78
2/14/2014,98.35
2/18/2014,98.34
2/19/2014,97.49
2/20/2014,98.55
2/21/2014,98.52
2/24/2014,99.29
2/25/2014,98.81
2/26/2014,99.12
2/27/2014,99.71
2/28/2014,99.9
3/3/2014,99.13
3/4/2014,100.85
3/5/2014,100.97
3/6/2014,101.61
3/7/2014,101.81
3/10/2014,101.29
3/11/2014,100.51
3/12/2014,100.29
3/13/2014,98.81
3/14/2014,98.63
3/17/2014,99.85
3/18/2014,100.43
3/19/2014,99.59
3/20/2014,99.72
3/21/2014,99.78
3/24/2014,99.34
3/25/2014,100.03
3/26/2014,98.91
3/27/2014,98.64
3/28/2014,99.34
3/31/2014,100.59
4/1/2014,101.4
4/2/2014,102.13
4/3/2014,102.05
4/4/2014,100.72
4/7/2014,99.23
4/8/2014,99.29
4/9/2014,100.66
4/10/2014,98.68
4/11/2014,97.61
4/14/2014,98.09
4/15/2014,98.66
4/16/2014,100.24
4/17/2014,101.09
4/21/2014,101.42
4/22/2014,101.66
4/23/2014,101.91
4/24/2014,101.64
4/25/2014,100.56
4/28/2014,100.49
4/29/2014,100.8
4/30/2014,101.51
5/1/2014,101.32
5/2/2014,101.34
5/5/2014,101.39
5/6/2014,100.55
5/7/2014,101.26
5/8/2014,101.14
5/9/2014,101.28
5/12/2014,102.97
5/13/2014,102.98
5/14/2014,102.01
5/15/2014,101.03
5/16/2014,101.27
5/19/2014,101.82
5/20/2014,100.39
5/21/2014,101.21
5/22/2014,101.57
5/23/2014,102.36
5/27/2014,102.99
5/28/2014,103.03
5/29/2014,103.33
5/30/2014,103.33
6/2/2014,103.76
6/3/2014,103.49
6/4/2014,103.6
6/5/2014,104.81
6/6/2014,105.8
6/9/2014,106.43
6/10/2014,106.16
6/11/2014,105.29
6/12/2014,103.84
6/13/2014,104.14
6/16/2014,104.06
6/17/2014,104.43
6/18/2014,104.99
6/19/2014,105.25
6/20/2014,105.71
6/23/2014,105.15
6/24/2014,104.04
6/25/2014,104.22
6/26/2014,104.11
6/27/2014,104.46
6/30/2014,104.24
7/1/2014,104.97
7/2/2014,104.65
7/3/2014,105.48
7/7/2014,104.49
7/8/2014,103.81
7/9/2014,103.96
7/10/2014,103.41
7/11/2014,103.81
7/14/2014,104.47
7/15/2014,104.44
7/16/2014,104.84
7/17/2014,103.22
7/18/2014,104.18
7/21/2014,103.93
7/22/2014,104.53
7/23/2014,104.22
7/24/2014,103.66
7/25/2014,103.21
7/28/2014,102.53
7/29/2014,101.46
7/30/2014,101.57
7/31/2014,99.53
8/1/2014,99.42
8/4/2014,99.74
8/5/2014,99.27
8/6/2014,98.93
8/7/2014,98.92
8/8/2014,100.25
8/11/2014,100.83
8/12/2014,100.52
8/13/2014,101.43
8/14/2014,102.02
8/15/2014,101.76
8/18/2014,103.45
8/19/2014,103.75
8/20/2014,104.52
8/21/2014,104.48
8/22/2014,104.17
8/25/2014,104.56
8/26/2014,104.31
8/27/2014,104.22
8/28/2014,103.92
8/29/2014,103.96
9/2/2014,104.35
9/3/2014,104.09
9/4/2014,104.15
