Date,Close
1/3/2017,59.35
1/4/2017,59.84
1/5/2017,60.56
1/6/2017,60.07
1/9/2017,59.65
1/10/2017,59.72
1/11/2017,59.94
1/12/2017,60.12
1/13/2017,60.21
1/17/2017,60.21
1/18/2017,59.8
1/19/2017,59.85
1/20/2017,60.38
1/23/2017,60.44
1/24/2017,59.4
1/25/2017,59.42
1/26/2017,59.44
1/27/2017,59.5
1/30/2017,59.23
1/31/2017,59.46
2/1/2017,59.23
2/2/2017,58.87
2/3/2017,58.94
2/6/2017,58.59
2/7/2017,58.47
2/8/2017,58.79
2/9/2017,59.08
2/10/2017,59.13
2/13/2017,58.72
2/14/2017,58.43
2/15/2017,58.59
2/16/2017,58.72
2/17/2017,58.99
2/21/2017,59.24
2/22/2017,59.37
2/23/2017,59.64
2/24/2017,59.83
2/27/2017,59.39
2/28/2017,59
3/1/2017,59.37
3/2/2017,58.98
3/3/2017,59.19
3/6/2017,59.15
3/7/2017,58.87
3/8/2017,58.59
3/9/2017,58.86
3/10/2017,59.29
3/13/2017,59.35
3/14/2017,58.96
3/15/2017,59.86
3/16/2017,60.06
3/17/2017,60.51
3/20/2017,60.42
3/21/2017,60.01
3/22/2017,59.99
3/23/2017,59.91
3/24/2017,59.95
3/27/2017,59.91
3/28/2017,59.89
3/29/2017,59.84
3/30/2017,59.59
3/31/2017,59.48
4/3/2017,59.5
4/4/2017,59.48
4/5/2017,59.5
4/6/2017,59.38
4/7/2017,59.29
4/10/2017,59.24
4/11/2017,59.2
4/12/2017,59.32
4/13/2017,58.93
4/17/2017,59.18
4/18/2017,59.09
4/19/2017,58.94
4/20/2017,59.23
4/21/2017,58.82
4/24/2017,59.28
4/25/2017,59.32
4/26/2017,59.42
4/27/2017,58.93
4/28/2017,58.66
5/1/2017,58.67
5/2/2017,58.7
5/3/2017,58.39
5/4/2017,58.47
5/5/2017,59.27
5/8/2017,59.29
5/9/2017,59.04
5/10/2017,59.21
5/11/2017,58.86
5/12/2017,59.38
5/15/2017,59.41
5/16/2017,59.83
5/17/2017,59.2
5/18/2017,59.37
5/19/2017,60.02
5/22/2017,60.41
5/23/2017,60.37
5/24/2017,60.21
5/25/2017,60.48
5/26/2017,60.53
5/30/2017,60.8
5/31/2017,61.02
6/1/2017,61.14
6/2/2017,61.32
6/5/2017,61.4
6/6/2017,61.32
6/7/2017,61.27
6/8/2017,60.95
