Date,Close
1/4/2010,55.8
1/5/2010,55.74
1/6/2010,55.35
1/7/2010,55.14
1/8/2010,55.57
1/11/2010,55.33
1/12/2010,54.6
1/13/2010,55.2
1/14/2010,55.55
1/15/2010,54.86
1/19/2010,55.62
1/20/2010,54.9
1/21/2010,54.36
1/22/2010,52.32
1/25/2010,52.65
1/26/2010,52.65
1/27/2010,52.96
1/28/2010,51.54
1/29/2010,50.38
2/1/2010,51.19
2/2/2010,51.63
2/3/2010,51.78
2/4/2010,50.26
2/5/2010,50.73
2/8/2010,50.48
2/9/2010,51.02
2/10/2010,50.91
2/11/2010,51.58
2/12/2010,51.7
2/16/2010,52.44
2/17/2010,52.68
2/18/2010,53.14
2/19/2010,53.08
2/22/2010,52.97
2/23/2010,52.26
2/24/2010,52.75
2/25/2010,52.59
2/26/2010,52.65
3/1/2010,53.5
3/2/2010,53.48
3/3/2010,53.51
3/4/2010,53.76
3/5/2010,54.44
3/8/2010,54.69
3/9/2010,54.9
3/10/2010,55.35
3/11/2010,55.51
3/12/2010,55.51
3/15/2010,55.33
3/16/2010,55.74
3/17/2010,56.06
3/18/2010,56.06
3/19/2010,55.56
3/22/2010,56.08
3/23/2010,56.65
3/24/2010,56.21
3/25/2010,56.3
3/26/2010,56.25
3/29/2010,56.22
3/30/2010,56.52
3/31/2010,56.18
4/1/2010,56.17
4/5/2010,56.94
4/6/2010,57.01
4/7/2010,56.87
4/8/2010,56.88
4/9/2010,57.32
4/12/2010,57.55
4/13/2010,57.73
4/14/2010,58.76
4/15/2010,59.05
4/16/2010,58.31
4/19/2010,58.26
4/20/2010,58.64
4/21/2010,58.87
4/22/2010,59.09
4/23/2010,59.33
4/26/2010,59.25
4/27/2010,58.02
4/28/2010,58.17
4/29/2010,58.72
4/30/2010,57.42
5/3/2010,58.21
5/4/2010,56.46
5/5/2010,56.07
5/6/2010,54.07
5/7/2010,52.95
5/10/2010,55.52
5/11/2010,55.33
5/12/2010,56.69
5/13/2010,55.96
5/14/2010,54.72
5/17/2010,54.84
5/18/2010,53.99
5/19/2010,53.64
5/20/2010,51.69
5/21/2010,52.25
5/24/2010,51.9
5/25/2010,51.8
5/26/2010,51.43
5/27/2010,53.34
5/28/2010,52.83
6/1/2010,52.02
6/2/2010,53.32
6/3/2010,53.98
6/4/2010,52.1
6/7/2010,51.03
6/8/2010,51.06
6/9/2010,50.68
6/10/2010,52.02
6/11/2010,52.64
6/14/2010,52.51
6/15/2010,54.1
6/16/2010,54.2
6/17/2010,54.37
6/18/2010,54.44
6/21/2010,54.01
6/22/2010,53.42
6/23/2010,53.2
6/24/2010,52.21
6/25/2010,52.26
6/28/2010,52.28
6/29/2010,50.18
6/30/2010,49.46
7/1/2010,49.24
7/2/2010,49.13
7/6/2010,49.36
7/7/2010,51.22
7/8/2010,51.49
7/9/2010,51.84
7/12/2010,52.17
7/13/2010,53.05
7/14/2010,53.46
7/15/2010,53.42
7/16/2010,51.81
7/19/2010,52.39
7/20/2010,52.79
7/21/2010,51.98
7/22/2010,53.44
7/23/2010,53.93
7/26/2010,54.34
7/27/2010,54.38
7/28/2010,53.76
7/29/2010,53.22
7/30/2010,53.02
8/2/2010,54.05
8/3/2010,53.78
8/4/2010,54.24
8/5/2010,53.95
8/6/2010,53.81
8/9/2010,54.13
8/10/2010,53.38
8/11/2010,51.94
8/12/2010,51.07
8/13/2010,50.73
8/16/2010,50.94
8/17/2010,51.6
8/18/2010,51.82
8/19/2010,51.17
8/20/2010,51.13
8/23/2010,50.63
8/24/2010,49.82
8/25/2010,50.15
8/26/2010,49.66
8/27/2010,50.36
8/30/2010,49.7
8/31/2010,49.35
9/1/2010,50.76
9/2/2010,51.28
9/3/2010,52.13
9/7/2010,51.63
9/8/2010,51.84
9/9/2010,51.93
9/10/2010,51.91
9/13/2010,53.04
9/14/2010,53.3
9/15/2010,53.56
9/16/2010,53.91
9/17/2010,54.13
9/20/2010,54.99
9/21/2010,54.87
9/22/2010,54.6
9/23/2010,54.57
9/24/2010,55.76
9/27/2010,55.71
9/28/2010,55.82
9/29/2010,55.87
9/30/2010,55.6
10/1/2010,55.6
10/4/2010,54.96
10/5/2010,56.13
10/6/2010,55.5
10/7/2010,55.84
10/8/2010,56.21
10/11/2010,56.27
10/12/2010,56.68
10/13/2010,57.23
10/14/2010,57.24
10/15/2010,58.25
10/18/2010,58.42
10/19/2010,57.5
10/20/2010,57.91
10/21/2010,57.98
10/22/2010,58.41
10/25/2010,58.69
10/26/2010,58.74
10/27/2010,59.1
10/28/2010,59.07
10/29/2010,59.16
11/1/2010,59.23
11/2/2010,59.79
11/3/2010,60.14
11/4/2010,61.1
11/5/2010,61.16
11/8/2010,61.27
11/9/2010,60.95
11/10/2010,61.16
11/11/2010,60.19
11/12/2010,59.34
11/15/2010,59.1
11/16/2010,58.09
11/17/2010,58.1
11/18/2010,59.14
11/19/2010,59.34
11/22/2010,59.73
11/23/2010,58.91
11/24/2010,59.96
11/26/2010,59.75
11/29/2010,59.36
11/30/2010,58.6
12/1/2010,59.92
12/2/2010,60.7
12/3/2010,60.94
12/6/2010,61.03
12/7/2010,61.05
12/8/2010,61.54
12/9/2010,61.57
12/10/2010,61.96
12/13/2010,61.72
12/14/2010,61.65
12/15/2010,61.36
12/16/2010,61.56
12/17/2010,61.78
12/20/2010,61.71
12/21/2010,62.08
