Date,Close
1/4/2010,52.54
1/5/2010,52.77
1/6/2010,52.9
1/7/2010,53.55
1/8/2010,54.26
1/11/2010,54.77
1/12/2010,54.22
1/13/2010,54.55
1/14/2010,54.5
1/15/2010,53.87
1/19/2010,54.35
1/20/2010,53.65
1/21/2010,52.52
1/22/2010,51.55
1/25/2010,51.76
1/26/2010,51.68
1/27/2010,51.71
1/28/2010,51
1/29/2010,50.47
2/1/2010,51.15
2/2/2010,52.11
2/3/2010,51.9
2/4/2010,50.24
2/5/2010,50.01
2/8/2010,49.52
2/9/2010,50.31
2/10/2010,50.28
2/11/2010,51.1
2/12/2010,50.83
2/16/2010,51.91
2/17/2010,52.32
2/18/2010,52.83
2/19/2010,53.05
2/22/2010,53.06
2/23/2010,52.38
2/24/2010,52.8
2/25/2010,52.72
2/26/2010,52.96
3/1/2010,53.58
3/2/2010,53.73
3/3/2010,53.93
3/4/2010,54.11
3/5/2010,54.96
3/8/2010,54.78
3/9/2010,55.24
3/10/2010,55.44
3/11/2010,55.54
3/12/2010,55.84
3/15/2010,55.93
3/16/2010,56.55
3/17/2010,56.73
3/18/2010,56.96
3/19/2010,56.61
3/22/2010,56.89
3/23/2010,57.62
3/24/2010,57.21
3/25/2010,57.01
3/26/2010,57.25
3/29/2010,57.71
3/30/2010,57.85
3/31/2010,57.55
4/1/2010,57.97
4/5/2010,58.5
4/6/2010,58.52
4/7/2010,58.19
4/8/2010,58.39
4/9/2010,58.72
4/12/2010,58.92
4/13/2010,59.11
4/14/2010,59.89
4/15/2010,60.35
4/16/2010,59.4
4/19/2010,59.31
4/20/2010,59.83
4/21/2010,60.25
4/22/2010,60.84
4/23/2010,61.24
4/26/2010,61.41
4/27/2010,59.81
4/28/2010,60.15
4/29/2010,61.42
4/30/2010,60.06
5/3/2010,61.28
5/4/2010,59.2
5/5/2010,58.42
5/6/2010,56.51
5/7/2010,55.17
5/10/2010,58.3
5/11/2010,58.26
5/12/2010,59.77
5/13/2010,59.08
5/14/2010,57.76
5/17/2010,57.61
5/18/2010,56.9
5/19/2010,55.97
5/20/2010,53.36
5/21/2010,54.24
5/24/2010,53.4
5/25/2010,53.36
5/26/2010,53.58
5/27/2010,55.54
5/28/2010,54.69
6/1/2010,53.6
6/2/2010,54.93
6/3/2010,55.23
6/4/2010,52.65
6/7/2010,51.23
6/8/2010,51.71
6/9/2010,51.71
6/10/2010,53.58
6/11/2010,53.87
6/14/2010,53.91
6/15/2010,55.58
6/16/2010,55.47
6/17/2010,55.57
6/18/2010,55.74
6/21/2010,55.78
6/22/2010,54.37
6/23/2010,54.19
6/24/2010,53.19
6/25/2010,53.5
6/28/2010,53.28
6/29/2010,51.19
6/30/2010,50.87
7/1/2010,50.44
7/2/2010,49.97
7/6/2010,49.93
7/7/2010,51.74
7/8/2010,52.42
