Date,Close
1/4/2010,11.93
1/5/2010,12.15
1/6/2010,12.17
1/7/2010,12.43
1/8/2010,12.36
1/11/2010,12.37
1/12/2010,12.19
1/13/2010,12.33
1/14/2010,12.38
1/15/2010,12.13
1/19/2010,12.29
1/20/2010,12.25
1/21/2010,11.9
1/22/2010,11.52
1/25/2010,11.58
1/26/2010,11.38
1/27/2010,11.65
1/28/2010,11.6
1/29/2010,11.51
2/1/2010,11.71
2/2/2010,11.82
2/3/2010,11.69
2/4/2010,11.19
2/5/2010,11.32
2/8/2010,11.09
2/9/2010,11.21
2/10/2010,11.3
2/11/2010,11.32
2/12/2010,11.33
2/16/2010,11.56
2/17/2010,11.6
2/18/2010,11.68
2/19/2010,11.74
2/22/2010,11.9
2/23/2010,11.68
2/24/2010,11.88
2/25/2010,11.85
2/26/2010,11.92
3/1/2010,11.95
3/2/2010,11.99
3/3/2010,12
3/4/2010,12.12
3/5/2010,12.36
3/8/2010,12.38
3/9/2010,12.42
3/10/2010,12.56
3/11/2010,12.67
3/12/2010,12.62
3/15/2010,12.62
3/16/2010,12.77
3/17/2010,12.93
3/18/2010,12.85
3/19/2010,12.74
3/22/2010,12.81
3/23/2010,12.91
3/24/2010,12.92
3/25/2010,12.98
3/26/2010,12.99
3/29/2010,13.01
3/30/2010,12.93
3/31/2010,12.95
4/1/2010,13.06
4/5/2010,13.19
4/6/2010,13.33
4/7/2010,13.28
4/8/2010,13.38
4/9/2010,13.43
4/12/2010,13.49
4/13/2010,13.5
4/14/2010,13.85
4/15/2010,13.79
4/16/2010,13.29
4/19/2010,13.42
4/20/2010,13.59
4/21/2010,13.51
4/22/2010,13.59
4/23/2010,13.63
4/26/2010,13.41
4/27/2010,12.96
4/28/2010,13.15
4/29/2010,13.45
4/30/2010,13.12
5/3/2010,13.37
5/4/2010,13.01
5/5/2010,12.94
5/6/2010,12.39
5/7/2010,12.25
5/10/2010,12.94
5/11/2010,12.89
5/12/2010,13.03
5/13/2010,12.8
5/14/2010,12.46
5/17/2010,12.47
5/18/2010,12.12
5/19/2010,12.13
5/20/2010,11.57
5/21/2010,11.98
5/24/2010,11.64
5/25/2010,11.74
5/26/2010,11.66
5/27/2010,12.19
5/28/2010,11.92
6/1/2010,11.67
6/2/2010,12.03
6/3/2010,11.97
6/4/2010,11.49
6/7/2010,11.26
6/8/2010,11.5
6/9/2010,11.38
6/10/2010,11.75
6/11/2010,11.78
6/14/2010,11.73
6/15/2010,12.01
6/16/2010,12.02
6/17/2010,12
6/18/2010,12.04
6/21/2010,12.03
6/22/2010,11.84
6/23/2010,11.78
6/24/2010,11.57
6/25/2010,11.88
6/28/2010,11.77
6/29/2010,11.35
6/30/2010,11.21
7/1/2010,11.11
7/2/2010,10.98
7/6/2010,11.04
7/7/2010,11.53
7/8/2010,11.62
7/9/2010,11.78
7/12/2010,11.8
7/13/2010,12.09
7/14/2010,12
7/15/2010,11.98
7/16/2010,11.47
7/19/2010,11.47
7/20/2010,11.59
7/21/2010,11.4
7/22/2010,11.73
7/23/2010,11.82
7/26/2010,11.99
7/27/2010,12.02
7/28/2010,11.91
7/29/2010,11.95
7/30/2010,11.95
8/2/2010,12.25
8/3/2010,12.11
8/4/2010,12.16
8/5/2010,12.11
8/6/2010,12
8/9/2010,12.07
8/10/2010,11.96
8/11/2010,11.54
8/12/2010,11.46
8/13/2010,11.43
8/16/2010,11.39
8/17/2010,11.48
8/18/2010,11.53
8/19/2010,11.26
8/20/2010,11.23
8/23/2010,11.16
8/24/2010,10.97
8/25/2010,11
8/26/2010,10.91
8/27/2010,11.15
8/30/2010,10.91
8/31/2010,11.01
9/1/2010,11.43
9/2/2010,11.55
9/3/2010,11.79
9/7/2010,11.52
9/8/2010,11.64
9/9/2010,11.78
9/10/2010,11.8
9/13/2010,12.05
9/14/2010,11.95
9/15/2010,11.99
9/16/2010,11.95
9/17/2010,11.86
9/20/2010,12.09
9/21/2010,11.98
9/22/2010,11.78
9/23/2010,11.56
9/24/2010,11.86
9/27/2010,11.73
9/28/2010,11.76
9/29/2010,11.67
9/30/2010,11.65
10/1/2010,11.77
10/4/2010,11.69
10/5/2010,11.96
10/6/2010,11.95
10/7/2010,11.9
10/8/2010,11.94
10/11/2010,11.92
10/12/2010,12.05
10/13/2010,12.07
10/14/2010,11.85
10/15/2010,11.65
10/18/2010,11.91
10/19/2010,11.75
10/20/2010,11.86
10/21/2010,11.86
10/22/2010,11.86
10/25/2010,11.82
10/26/2010,11.83
10/27/2010,11.84
10/28/2010,11.84
10/29/2010,11.82
11/1/2010,11.82
11/2/2010,11.85
11/3/2010,11.97
11/4/2010,12.37
11/5/2010,12.65
11/8/2010,12.55
11/9/2010,12.32
11/10/2010,12.46
11/11/2010,12.34
11/12/2010,12.13
11/15/2010,12.18
11/16/2010,11.98
11/17/2010,11.9
11/18/2010,12.07
11/19/2010,12.06
11/22/2010,11.89
11/23/2010,11.7
11/24/2010,11.88
11/26/2010,11.71
11/29/2010,11.81
11/30/2010,11.74
12/1/2010,11.98
12/2/2010,12.29
12/3/2010,12.33
12/6/2010,12.31
12/7/2010,12.33
12/8/2010,12.53
12/9/2010,12.68
12/10/2010,12.79
12/13/2010,12.79
12/14/2010,12.67
12/15/2010,12.57
12/16/2010,12.59
12/17/2010,12.61
12/20/2010,12.62
12/21/2010,12.84
12/22/2010,12.98
12/23/2010,12.89
12/27/2010,13
12/28/2010,13
12/29/2010,12.98
12/30/2010,12.94
12/31/2010,12.95
1/3/2011,13.24
1/4/2011,13.22
1/5/2011,13.37
1/6/2011,13.29
1/7/2011,13.17
1/10/2011,13.13
1/11/2011,13.19
1/12/2011,13.41
1/13/2011,13.36
1/14/2011,13.58
1/18/2011,13.5
1/19/2011,13.2
1/20/2011,13.26
1/21/2011,13.37
1/24/2011,13.35
1/25/2011,13.33
1/26/2011,13.31
1/27/2011,13.43
1/28/2011,13.2
1/31/2011,13.32
2/1/2011,13.59
2/2/2011,13.49
2/3/2011,13.49
2/4/2011,13.49
2/7/2011,13.68
2/8/2011,13.78
2/9/2011,13.68
2/10/2011,13.68
2/11/2011,13.87
2/14/2011,13.88
2/15/2011,13.86
2/16/2011,13.93
2/17/2011,13.92
2/18/2011,13.95
2/22/2011,13.52
2/23/2011,13.46
2/24/2011,13.43
2/25/2011,13.62
2/28/2011,13.68
3/1/2011,13.39
3/2/2011,13.31
3/3/2011,13.58
3/4/2011,13.42
3/7/2011,13.33
3/8/2011,13.62
3/9/2011,13.62
3/10/2011,13.34
3/11/2011,13.43
3/14/2011,13.31
3/15/2011,13.16
3/16/2011,12.91
3/17/2011,13.07
3/18/2011,13.21
3/21/2011,13.27
3/22/2011,13.2
3/23/2011,13.17
3/24/2011,13.23
3/25/2011,13.27
3/28/2011,13.22
3/29/2011,13.25
3/30/2011,13.36
3/31/2011,13.31
4/1/2011,13.42
4/4/2011,13.4
4/5/2011,13.4
4/6/2011,13.55
4/7/2011,13.49
4/8/2011,13.37
4/11/2011,13.37
4/12/2011,13.32
4/13/2011,13.22
4/14/2011,13.1
4/15/2011,13.11
4/18/2011,12.93
4/19/2011,12.97
4/20/2011,13
4/21/2011,13.07
4/25/2011,13.06
4/26/2011,13.14
4/27/2011,13.22
4/28/2011,13.33
4/29/2011,13.3
5/2/2011,13.24
5/3/2011,13.3
5/4/2011,13.19
5/5/2011,13.02
5/6/2011,13.08
5/9/2011,13.05
5/10/2011,13.17
5/11/2011,12.99
5/12/2011,12.99
5/13/2011,12.81
5/16/2011,12.79
5/17/2011,12.89
5/18/2011,12.94
5/19/2011,12.94
5/20/2011,12.77
