Date,Close
1/3/2006,54.56
1/4/2006,55.13
1/5/2006,55.13
1/6/2006,55.5
1/9/2006,55.86
1/10/2006,55.59
1/11/2006,55.43
1/12/2006,55.38
1/13/2006,55.35
1/17/2006,55.2
1/18/2006,55.34
1/19/2006,55.66
1/20/2006,54.66
1/23/2006,54.48
1/24/2006,54.35
1/25/2006,54.22
1/26/2006,54.59
1/27/2006,55.3
1/30/2006,54.92
1/31/2006,55.03
2/1/2006,55.38
2/2/2006,54.82
2/3/2006,54.77
2/6/2006,54.31
2/7/2006,54.27
2/8/2006,54.78
2/9/2006,54.83
2/10/2006,54.62
2/13/2006,54.6
2/14/2006,55.13
2/15/2006,55.46
2/16/2006,55.92
2/17/2006,55.89
2/21/2006,55.53
2/22/2006,55.98
2/23/2006,55.81
2/24/2006,55.92
2/27/2006,56.4
2/28/2006,55.62
3/1/2006,55.82
3/2/2006,55.58
3/3/2006,55.51
3/6/2006,55.2
3/7/2006,55.15
3/8/2006,55.46
3/9/2006,55.12
3/10/2006,55.43
3/13/2006,55.39
3/14/2006,55.79
3/15/2006,56
3/16/2006,56.06
3/17/2006,56.22
3/20/2006,56.37
3/21/2006,55.88
3/22/2006,56.44
3/23/2006,56.22
3/24/2006,56.14
3/27/2006,55.67
3/28/2006,55.15
3/29/2006,55.47
3/30/2006,55.41
3/31/2006,55.21
4/3/2006,55.03
4/4/2006,55.05
4/5/2006,54.84
4/6/2006,54.31
4/7/2006,53.78
4/10/2006,53.61
4/11/2006,53
4/12/2006,53.35
4/13/2006,53.28
4/17/2006,53.01
4/18/2006,53.55
4/19/2006,53.43
4/20/2006,53.83
4/21/2006,53.58
4/24/2006,53.49
4/25/2006,53.11
4/26/2006,53.05
4/27/2006,52.96
4/28/2006,53.4
5/1/2006,53.03
5/2/2006,52.85
5/3/2006,52.44
5/4/2006,52.52
5/5/2006,53.19
5/8/2006,53.12
5/9/2006,52.77
5/10/2006,52.69
5/11/2006,52.45
5/12/2006,52.2
5/15/2006,52.89
5/16/2006,53.07
5/17/2006,52.45
5/18/2006,52.17
5/19/2006,51.96
5/22/2006,51.79
5/23/2006,51.44
5/24/2006,51.69
5/25/2006,52.13
5/26/2006,52.44
5/30/2006,51.78
5/31/2006,52.09
6/1/2006,52.82
6/2/2006,53.1
6/5/2006,52.25
6/6/2006,52.24
6/7/2006,52.51
6/8/2006,52.5
6/9/2006,52.26
6/12/2006,51.67
6/13/2006,51.36
6/14/2006,51.48
6/15/2006,52.19
6/16/2006,52.11
6/19/2006,51.6
6/20/2006,51.44
6/21/2006,51.8
6/22/2006,51.57
6/23/2006,51.63
6/26/2006,51.6
6/27/2006,50.99
6/28/2006,50.97
6/29/2006,52.01
6/30/2006,52.35
7/5/2006,52.25
7/6/2006,52.57
7/7/2006,52.57
7/10/2006,52.7
7/11/2006,52.83
7/12/2006,52.45
7/13/2006,51.95
7/14/2006,51.48
7/17/2006,51.61
7/18/2006,51.66
7/19/2006,52.92
7/20/2006,52.84
7/21/2006,52.94
7/24/2006,53.91
7/25/2006,54.48
7/26/2006,54.61
7/27/2006,54.34
7/28/2006,54.62
7/31/2006,54.45
8/1/2006,54.33
8/2/2006,54.7
8/3/2006,54.37
8/4/2006,54.3
8/7/2006,54.07
8/8/2006,54.02
8/9/2006,54.09
8/10/2006,54.09
8/11/2006,53.81
8/14/2006,53.91
8/15/2006,54.45
8/16/2006,54.94
8/17/2006,55.06
8/18/2006,55.17
8/21/2006,54.98
8/22/2006,55.02
8/23/2006,55.02
8/24/2006,55.36
8/25/2006,55.36
8/28/2006,55.8
8/29/2006,56.03
8/30/2006,56.1
8/31/2006,55.97
9/1/2006,56.29
9/5/2006,56.09
9/6/2006,55.67
9/7/2006,55.32
9/8/2006,55.73
9/11/2006,55.98
9/12/2006,56.67
9/13/2006,56.62
9/14/2006,56.53
9/15/2006,56.61
9/18/2006,56.55
9/19/2006,56.61
9/20/2006,56.99
9/21/2006,56.54
9/22/2006,56.09
9/25/2006,56.4
9/26/2006,56.42
9/27/2006,56.62
9/28/2006,56.6
9/29/2006,56.63
10/2/2006,56.33
10/3/2006,56.44
10/4/2006,56.93
10/5/2006,57.1
10/6/2006,56.98
10/9/2006,56.88
10/10/2006,56.7
10/11/2006,56.61
10/12/2006,57.04
10/13/2006,56.82
10/16/2006,56.9
10/17/2006,57.02
10/18/2006,57.59
10/19/2006,57.59
10/20/2006,57.93
10/23/2006,57.97
10/24/2006,57.78
10/25/2006,57.57
10/26/2006,57.86
10/27/2006,57.6
10/30/2006,57.37
10/31/2006,57.14
