Date,Close
1/3/2006,21.23
1/4/2006,21.21
1/5/2006,21.28
1/6/2006,21.41
1/9/2006,21.47
1/10/2006,21.49
1/11/2006,21.61
1/12/2006,21.46
1/13/2006,21.44
1/17/2006,21.22
1/18/2006,21.16
1/19/2006,21.09
1/20/2006,20.65
1/23/2006,20.7
1/24/2006,20.8
1/25/2006,20.84
1/26/2006,21.19
1/27/2006,21.21
1/30/2006,21.15
1/31/2006,21.07
2/1/2006,21.05
2/2/2006,20.91
2/3/2006,20.82
2/6/2006,20.88
2/7/2006,20.74
2/8/2006,20.88
2/9/2006,20.93
2/10/2006,21.05
2/13/2006,20.97
2/14/2006,21.22
2/15/2006,21.34
2/16/2006,21.47
2/17/2006,21.38
2/21/2006,21.32
2/22/2006,21.72
2/23/2006,21.64
2/24/2006,21.69
2/27/2006,21.73
2/28/2006,21.52
3/1/2006,21.63
3/2/2006,21.5
3/3/2006,21.44
3/6/2006,21.38
3/7/2006,21.45
3/8/2006,21.46
3/9/2006,21.33
3/10/2006,21.52
3/13/2006,21.53
3/14/2006,21.78
3/15/2006,21.81
3/16/2006,21.88
3/17/2006,21.83
3/20/2006,21.84
3/21/2006,21.62
3/22/2006,21.79
3/23/2006,21.69
3/24/2006,21.68
3/27/2006,21.67
3/28/2006,21.49
3/29/2006,21.59
3/30/2006,21.46
3/31/2006,21.46
4/3/2006,21.5
4/4/2006,21.73
4/5/2006,21.77
4/6/2006,21.69
4/7/2006,21.48
4/10/2006,21.52
4/11/2006,21.34
4/12/2006,21.38
4/13/2006,21.42
4/17/2006,21.4
4/18/2006,21.79
4/19/2006,21.82
4/20/2006,21.86
4/21/2006,21.84
4/24/2006,21.85
4/25/2006,21.71
4/26/2006,21.84
4/27/2006,22.18
4/28/2006,22.39
5/1/2006,22.04
5/2/2006,22.18
5/3/2006,22.16
5/4/2006,22.21
5/5/2006,22.52
5/8/2006,22.43
5/9/2006,22.47
5/10/2006,22.48
5/11/2006,22.12
5/12/2006,21.89
5/15/2006,22.04
5/16/2006,22.02
5/17/2006,21.57
5/18/2006,21.38
5/19/2006,21.5
5/22/2006,21.44
5/23/2006,21.34
5/24/2006,21.35
5/25/2006,21.54
5/26/2006,21.72
5/30/2006,21.4
5/31/2006,21.55
6/1/2006,21.8
6/2/2006,21.92
6/5/2006,21.57
6/6/2006,21.52
6/7/2006,21.59
6/8/2006,21.63
6/9/2006,21.55
6/12/2006,21.32
6/13/2006,20.9
6/14/2006,20.78
6/15/2006,21.24
6/16/2006,20.98
6/19/2006,20.84
6/20/2006,20.9
6/21/2006,21.07
6/22/2006,20.99
6/23/2006,20.85
6/26/2006,21.03
6/27/2006,20.83
6/28/2006,20.94
6/29/2006,21.38
6/30/2006,21.32
7/3/2006,21.57
7/5/2006,21.37
7/6/2006,21.44
7/7/2006,21.33
7/10/2006,21.48
7/11/2006,21.48
7/12/2006,21.27
7/13/2006,20.94
7/14/2006,20.85
7/17/2006,20.89
7/18/2006,20.94
7/19/2006,21.49
7/20/2006,21.4
7/21/2006,21.28
7/24/2006,21.56
7/25/2006,21.61
7/26/2006,21.59
7/27/2006,21.46
7/28/2006,21.85
7/31/2006,21.81
8/1/2006,21.75
8/2/2006,21.79
8/3/2006,21.88
