Date,Close
1/4/2010,54.94
1/5/2010,54.6
1/6/2010,54.91
1/7/2010,55.1
1/8/2010,55.3
1/11/2010,55.58
1/12/2010,55.2
1/13/2010,56.02
1/14/2010,56.39
1/15/2010,56.06
1/19/2010,57.2
1/20/2010,56.83
1/21/2010,55.6
1/22/2010,54.9
1/25/2010,54.98
1/26/2010,54.79
1/27/2010,55.05
1/28/2010,54.6
1/29/2010,54.42
2/1/2010,54.61
2/2/2010,55.67
2/3/2010,55.13
2/4/2010,53.58
2/5/2010,53.45
2/8/2010,53.23
2/9/2010,53.6
2/10/2010,53.42
2/11/2010,53.8
2/12/2010,53.84
2/16/2010,54.31
2/17/2010,54.71
2/18/2010,54.89
2/19/2010,54.88
2/22/2010,54.89
2/23/2010,54.26
2/24/2010,54.62
2/25/2010,54.62
2/26/2010,54.71
3/1/2010,55.3
3/2/2010,55.66
3/3/2010,55.48
3/4/2010,55.37
3/5/2010,56.04
3/8/2010,55.86
3/9/2010,55.76
3/10/2010,55.98
3/11/2010,56.3
3/12/2010,56.03
3/15/2010,56.27
3/16/2010,56.46
3/17/2010,56.5
3/18/2010,56.8
3/19/2010,56.8
3/22/2010,57.31
3/23/2010,57.55
3/24/2010,57.03
3/25/2010,56.72
3/26/2010,56.37
3/29/2010,56.83
3/30/2010,56.91
3/31/2010,56.69
4/1/2010,57
4/5/2010,56.99
4/6/2010,56.91
4/7/2010,56.63
4/8/2010,56.52
4/9/2010,56.74
4/12/2010,56.65
4/13/2010,56.7
4/14/2010,56.63
4/15/2010,56.53
4/16/2010,56.21
4/19/2010,56.59
4/20/2010,56.8
4/21/2010,55.86
4/22/2010,55.26
4/23/2010,55.79
4/26/2010,55.17
4/27/2010,54.6
4/28/2010,54.92
4/29/2010,55.85
4/30/2010,55.15
5/3/2010,55.52
5/4/2010,54.98
5/5/2010,54.95
5/6/2010,53.41
5/7/2010,52.51
5/10/2010,54.02
5/11/2010,54.03
5/12/2010,54.58
5/13/2010,54.14
5/14/2010,53.21
5/17/2010,53.29
5/18/2010,52.93
5/19/2010,52.76
5/20/2010,50.86
5/21/2010,51.02
5/24/2010,50.91
5/25/2010,50.64
5/26/2010,50.51
5/27/2010,51.48
5/28/2010,51.33
6/1/2010,50.7
6/2/2010,51.95
6/3/2010,52.26
6/4/2010,50.58
6/7/2010,50.45
6/8/2010,50.4
6/9/2010,50.2
6/10/2010,51.27
6/11/2010,51.79
6/14/2010,51.86
6/15/2010,52.72
6/16/2010,52.87
6/17/2010,52.91
6/18/2010,52.79
6/21/2010,52.53
6/22/2010,52.01
6/23/2010,51.85
6/24/2010,51.39
