Date,Close
1/2/2014,67.56
1/3/2014,67.37
1/6/2014,67.26
1/7/2014,67.62
1/8/2014,67.37
1/9/2014,67.04
1/10/2014,67.5
1/13/2014,66.84
1/14/2014,67.52
1/15/2014,67.79
1/16/2014,67.87
1/17/2014,67.79
1/21/2014,67.68
1/22/2014,67.54
1/23/2014,67.2
1/24/2014,65.97
1/27/2014,65.57
1/28/2014,65.59
1/29/2014,64.82
1/30/2014,65.38
1/31/2014,65.1
2/3/2014,62.98
2/4/2014,63.53
2/5/2014,63.23
2/6/2014,64.37
2/7/2014,64.89
2/10/2014,64.73
2/11/2014,65.5
2/12/2014,65.3
2/13/2014,65.74
2/14/2014,65.65
2/18/2014,65.87
2/19/2014,65.72
2/20/2014,66.52
2/21/2014,66.46
2/24/2014,66.72
2/25/2014,66.55
2/26/2014,66.12
2/27/2014,66.48
2/28/2014,66.3
3/3/2014,65.47
3/4/2014,66.31
3/5/2014,66.28
3/6/2014,66.95
3/7/2014,66.57
3/10/2014,66.22
3/11/2014,65.84
3/12/2014,65.83
3/13/2014,65.08
3/14/2014,65.03
3/17/2014,65.73
3/18/2014,66.29
3/19/2014,65.53
3/20/2014,66.01
3/21/2014,65.83
3/24/2014,66.04
3/25/2014,65.96
3/26/2014,65.75
3/27/2014,66.12
3/28/2014,66.46
3/31/2014,66.86
4/1/2014,67.05
4/2/2014,67.17
4/3/2014,67.12
4/4/2014,66.94
4/7/2014,66.73
4/8/2014,66.65
4/9/2014,67.18
4/10/2014,66.49
4/11/2014,66.04
4/14/2014,66.41
4/15/2014,66.17
4/16/2014,66.99
4/17/2014,67.32
4/21/2014,67.34
4/22/2014,67.75
4/23/2014,67.02
4/24/2014,66.62
4/25/2014,66.38
4/28/2014,66.96
4/29/2014,67.73
4/30/2014,68.2
5/1/2014,68.33
5/2/2014,68.41
5/5/2014,68.63
5/6/2014,68.66
5/7/2014,68.97
5/8/2014,69.41
5/9/2014,69.2
5/12/2014,69.19
5/13/2014,68.97
5/14/2014,69.2
5/15/2014,68.93
5/16/2014,69.35
5/19/2014,69.37
5/20/2014,68.35
5/21/2014,68.77
5/22/2014,68.87
5/23/2014,69.02
5/27/2014,69.01
5/28/2014,69.13
5/29/2014,69.31
5/30/2014,69.46
6/2/2014,69.63
6/3/2014,69.34
6/4/2014,69.35
6/5/2014,69.69
6/6/2014,69.76
6/9/2014,69.94
6/10/2014,69.63
6/11/2014,69.38
6/12/2014,69.39
6/13/2014,69.54
6/16/2014,69.41
6/17/2014,69.29
6/18/2014,69.87
6/19/2014,70
6/20/2014,69.57
6/23/2014,69.34
6/24/2014,62.68
6/25/2014,62.85
6/26/2014,62.97
6/27/2014,63.26
6/30/2014,63.06
7/1/2014,63.61
7/2/2014,63.43
7/3/2014,63.6
7/7/2014,63.38
7/8/2014,62.83
7/9/2014,63.42
7/10/2014,63.1
7/11/2014,63.43
7/14/2014,64.01
7/15/2014,64.25
7/16/2014,64.79
7/17/2014,64
7/18/2014,64.44
7/21/2014,64.16
7/22/2014,64.65
7/23/2014,64.69
7/24/2014,64.61
7/25/2014,64.59
7/28/2014,64.84
7/29/2014,65.35
7/30/2014,65.29
7/31/2014,64.19
8/1/2014,63.78
8/4/2014,63.92
8/5/2014,63.3
8/6/2014,62.81
8/7/2014,62.35
8/8/2014,62.45
8/11/2014,62.57
8/12/2014,62.55
8/13/2014,62.82
8/14/2014,63.1
8/15/2014,63.2
8/18/2014,63.49
8/19/2014,63.44
8/20/2014,63.55
8/21/2014,63.86
8/22/2014,63.66
8/25/2014,63.97
8/26/2014,63.86
8/27/2014,64.26
8/28/2014,64.39
8/29/2014,64.62
9/2/2014,64.64
9/3/2014,64.9
9/4/2014,64.78
9/5/2014,64.93
9/8/2014,64.54
9/9/2014,64.36
9/10/2014,64.25
9/11/2014,64.2
9/12/2014,63.92
9/15/2014,63.9
9/16/2014,64.2
9/17/2014,64.01
9/18/2014,64.4
9/19/2014,64.53
9/22/2014,63.93
9/23/2014,63.54
9/24/2014,63.86
9/25/2014,63.09
9/26/2014,63.31
9/29/2014,62.94
9/30/2014,62.89
10/1/2014,62.15
10/2/2014,61.99
10/3/2014,62.2
10/6/2014,62.51
10/7/2014,61.95
10/8/2014,62.73
10/9/2014,61.36
10/10/2014,60.61
10/13/2014,60.18
10/14/2014,60.26
10/15/2014,59.96
10/16/2014,59.48
10/17/2014,60.19
10/20/2014,60.8
10/21/2014,61.17
10/22/2014,60.9
10/23/2014,60.98
10/24/2014,61.59
10/27/2014,61.66
10/28/2014,62.76
10/29/2014,62.64
10/30/2014,62.93
10/31/2014,63.83
11/3/2014,63.61
11/4/2014,63.19
11/5/2014,63.36
11/6/2014,62.86
11/7/2014,63.07
11/10/2014,63
11/11/2014,63.63
11/12/2014,63.65
11/13/2014,64.17
11/14/2014,64.49
11/17/2014,64.46
11/18/2014,64.75
11/19/2014,64.3
11/20/2014,64
11/21/2014,64.29
11/24/2014,64.24
11/25/2014,64.19
11/26/2014,64.74
11/28/2014,64.88
12/1/2014,64.37
12/2/2014,63.76
12/3/2014,63.5
12/4/2014,63.34
12/5/2014,63.6
12/8/2014,63.31
12/9/2014,62.2
12/10/2014,61.42
12/11/2014,61.7
12/12/2014,60.6
12/15/2014,60.09
12/16/2014,60.26
12/17/2014,61.1
12/18/2014,62.01
12/19/2014,60.79
12/22/2014,61.23
12/23/2014,61.28
12/24/2014,61.29
12/26/2014,61.54
12/29/2014,61.06
12/30/2014,60.6
12/31/2014,60.09
1/2/2015,59.99
1/5/2015,58.83
1/6/2015,58.61
1/7/2015,59.26
1/8/2015,60.23
1/9/2015,60.09
1/12/2015,60.26
1/13/2015,60.62
1/14/2015,60.67
1/15/2015,60.64
1/16/2015,61.56
1/20/2015,61.81
1/21/2015,62.28
1/22/2015,62.57
1/23/2015,62.19
1/26/2015,62.38
1/27/2015,62.01
1/28/2015,61.5
1/29/2015,62.02
1/30/2015,61.18
2/2/2015,62.01
2/3/2015,63.21
2/4/2015,62.92
2/5/2015,63.48
2/6/2015,63.21
2/9/2015,62.83
2/10/2015,63.48
2/11/2015,63.15
2/12/2015,63.78
2/13/2015,63.8
2/17/2015,63.83
2/18/2015,63.33
2/19/2015,63.16
2/20/2015,63.67
2/23/2015,63.18
2/24/2015,63.58
2/25/2015,63.79
2/26/2015,63.83
2/27/2015,63.8
3/2/2015,63.9
3/3/2015,63.42
3/4/2015,63.12
3/5/2015,63.01
3/6/2015,61.81
3/9/2015,61.48
3/10/2015,60.27
3/11/2015,60.42
3/12/2015,61.13
3/13/2015,60.79
3/16/2015,61.34
3/17/2015,61.18
3/18/2015,62.36
3/19/2015,61.44
3/20/2015,62.29
3/23/2015,62.42
3/24/2015,62.58
3/25/2015,62.1
3/26/2015,61.94
3/27/2015,61.86
3/30/2015,62
3/31/2015,61.3
4/1/2015,61.71
4/2/2015,62.22
4/6/2015,62.6
4/7/2015,62.41
4/8/2015,62.79
4/9/2015,62.77
4/10/2015,62.83
4/13/2015,62.88
4/14/2015,63.22
4/15/2015,63.39
4/16/2015,63.52
4/17/2015,62.8
4/20/2015,63.35
4/21/2015,63.64
4/22/2015,64
4/23/2015,64.78
4/24/2015,65.03
4/27/2015,65.21
4/28/2015,65.59
4/29/2015,65.28
4/30/2015,64.68
5/1/2015,64.86
5/4/2015,65.13
5/5/2015,64.19
5/6/2015,64.05
5/7/2015,63.87
5/8/2015,64.86
5/11/2015,64.42
5/12/2015,64.34
5/13/2015,64.49
5/14/2015,64.86
5/15/2015,65.09
5/18/2015,64.89
5/19/2015,64.32
5/20/2015,64.59
5/21/2015,64.99
5/22/2015,64.76
5/26/2015,64.08
5/27/2015,64.4
5/28/2015,64.05
5/29/2015,63.88
6/1/2015,63.35
6/2/2015,63.86
6/3/2015,64.29
6/4/2015,63.56
6/5/2015,62.66
6/8/2015,62.74
6/9/2015,62.48
6/10/2015,63.23
6/11/2015,63.51
6/12/2015,63.25
6/15/2015,62.83
6/16/2015,62.97
6/17/2015,63.09
6/18/2015,63.74
6/19/2015,63.53
6/22/2015,64.55
6/23/2015,65.1
6/24/2015,63.61
6/25/2015,63.68
6/26/2015,63.51
6/29/2015,62.2
6/30/2015,62.14
7/1/2015,62.4
7/2/2015,62.55
7/6/2015,61.63
7/7/2015,61.58
7/8/2015,60.63
7/9/2015,60.81
7/10/2015,62.47
7/13/2015,62.68
7/14/2015,63.04
7/15/2015,62.86
7/16/2015,63.55
7/17/2015,63.41
7/20/2015,63.59
7/21/2015,63.12
7/22/2015,62.5
7/23/2015,62.25
7/24/2015,62.18
7/27/2015,61.85
7/28/2015,62.15
7/29/2015,62.82
7/30/2015,62.82
7/31/2015,62.91
8/3/2015,62.95
8/4/2015,62.89
8/5/2015,63.12
8/6/2015,63.04
8/7/2015,62.84
8/10/2015,63.86
8/11/2015,63.42
8/12/2015,63.16
8/13/2015,62.71
8/14/2015,62.83
8/17/2015,62.8
8/18/2015,62.58
8/19/2015,62.39
8/20/2015,61.35
8/21/2015,60.39
8/24/2015,58.21
8/25/2015,57.97
8/26/2015,59.31
8/27/2015,60.53
8/28/2015,60.13
8/31/2015,59.85
9/1/2015,58.16
9/2/2015,58.91
9/3/2015,59.48
9/4/2015,58.32
9/8/2015,59.77
9/9/2015,59.42
9/10/2015,59.29
9/11/2015,58.93
9/14/2015,58.27
9/15/2015,58.46
9/16/2015,59.07
9/17/2015,59.02
9/18/2015,58.05
9/21/2015,58.27
9/22/2015,57.46
9/23/2015,57.27
9/24/2015,57.05
9/25/2015,57.45
9/28/2015,56.29
9/29/2015,56.03
9/30/2015,56.72
10/1/2015,56.38
10/2/2015,56.77
10/5/2015,58.21
10/6/2015,58.27
10/7/2015,58.58
10/8/2015,58.88
10/9/2015,58.81
10/12/2015,58.87
10/13/2015,58.29
10/14/2015,58.06
10/15/2015,59.08
10/16/2015,59.18
10/19/2015,59
10/20/2015,59.65
10/21/2015,59.16
10/22/2015,60.4
10/23/2015,60.91
10/26/2015,60.85
10/27/2015,60.13
10/28/2015,60.65
10/29/2015,60.56
10/30/2015,60.67
11/2/2015,60.92
11/3/2015,60.76
11/4/2015,60.39
11/5/2015,60.38
11/6/2015,59.76
11/9/2015,59.17
11/10/2015,59.42
11/11/2015,59.76
11/12/2015,59.21
11/13/2015,58.5
11/16/2015,59.58
11/17/2015,59.84
11/18/2015,60.2
11/19/2015,60.4
11/20/2015,60.29
11/23/2015,59.84
11/24/2015,59.72
11/25/2015,59.7
11/27/2015,59.91
11/30/2015,59.82
12/1/2015,60.11
12/2/2015,59.52
12/3/2015,59.08
12/4/2015,59.74
12/7/2015,59.61
12/8/2015,58.92
12/9/2015,58.56
12/10/2015,58.53
12/11/2015,57.59
12/14/2015,57.85
12/15/2015,58.45
12/16/2015,59.53
12/17/2015,58.91
12/18/2015,58.18
12/21/2015,57.23
12/22/2015,57.64
12/23/2015,58.49
12/24/2015,58.26
12/28/2015,58.19
12/29/2015,58.72
12/30/2015,58.19
12/31/2015,57.85
1/4/2016,57.08
1/5/2016,57.29
1/6/2016,56.84
1/7/2016,56.17
1/8/2016,55.96
1/11/2016,56.2
1/12/2016,56.35
1/13/2016,55.59
1/14/2016,56.3
1/15/2016,55.05
1/19/2016,55.5
1/20/2016,54.36
1/21/2016,55.39
1/22/2016,56.91
1/25/2016,56.25
1/26/2016,57.24
1/27/2016,57.67
1/28/2016,57.6
1/29/2016,58.81
2/1/2016,59.49
2/2/2016,58.38
2/3/2016,59.29
2/4/2016,59.23
2/5/2016,58.87
2/8/2016,58.19
2/9/2016,57.88
2/10/2016,57.59
2/11/2016,57.25
2/12/2016,57.62
2/16/2016,58.19
2/17/2016,59.04
2/18/2016,59.2
2/19/2016,58.68
2/22/2016,59.28
2/23/2016,58.56
2/24/2016,58.68
2/25/2016,59.49
2/26/2016,59.11
2/29/2016,59.01
3/1/2016,60.21
3/2/2016,60.4
3/3/2016,60.61
3/4/2016,60.58
3/7/2016,60.63
3/8/2016,60.54
3/9/2016,60.84
3/10/2016,60.66
3/11/2016,61.74
3/14/2016,61.72
3/15/2016,61.53
3/16/2016,62.24
3/17/2016,62.45
3/18/2016,61.95
3/21/2016,61.93
3/22/2016,61.91
3/23/2016,61.48
3/24/2016,61.56
3/28/2016,61.68
3/29/2016,62.49
3/30/2016,62.76
3/31/2016,62.27
4/1/2016,62.08
4/4/2016,61.92
4/5/2016,60.94
4/6/2016,61.45
4/7/2016,61
4/8/2016,61.54
4/11/2016,61.49
4/12/2016,62.13
4/13/2016,62.2
4/14/2016,62.33
4/15/2016,62.41
4/18/2016,62.8
4/19/2016,63.62
4/20/2016,63.33
4/21/2016,62.4
4/22/2016,62.7
4/25/2016,62.36
4/26/2016,62.36
4/27/2016,62.87
4/28/2016,62.23
4/29/2016,62.18
5/2/2016,62.99
5/3/2016,62.26
5/4/2016,61.76
5/5/2016,61.66
5/6/2016,61.74
5/9/2016,61.59
5/10/2016,62.65
5/11/2016,62.41
5/12/2016,62.88
5/13/2016,62.06
5/16/2016,62.52
5/17/2016,62.04
5/18/2016,61.54
5/19/2016,60.99
5/20/2016,61.28
5/23/2016,61
5/24/2016,61.55
5/25/2016,62.17
5/26/2016,62.3
5/27/2016,62.34
5/31/2016,62.22
6/1/2016,61.93
6/2/2016,62.05
6/3/2016,62.44
6/6/2016,62.61
6/7/2016,63.25
6/8/2016,63.2
6/9/2016,62.82
6/10/2016,62.09
6/13/2016,61.32
6/14/2016,61.13
6/15/2016,61.12
6/16/2016,61.51
6/17/2016,61.7
6/20/2016,62.58
6/21/2016,61.87
6/22/2016,62.07
6/23/2016,63.15
6/24/2016,60.28
6/27/2016,60.21
6/28/2016,61.23
6/29/2016,62.45
6/30/2016,63.19
7/1/2016,63.42
7/5/2016,62.83
7/6/2016,63.01
7/7/2016,62.45
7/8/2016,62.92
7/11/2016,63.23
7/12/2016,63.63
7/13/2016,63.47
7/14/2016,63.92
7/15/2016,63.69
7/18/2016,63.56
7/19/2016,62.96
7/20/2016,63.3
7/21/2016,62.98
7/22/2016,63.65
7/25/2016,63.4
7/26/2016,63.12
7/27/2016,63.19
7/28/2016,63.04
7/29/2016,63.7
8/1/2016,63.55
8/2/2016,63.39
8/3/2016,63.5
8/4/2016,63.35
8/5/2016,63.41
8/8/2016,63.21
8/9/2016,63.7
8/10/2016,63.98
8/11/2016,64.33
8/12/2016,64.13
8/15/2016,64.38
8/16/2016,63.67
8/17/2016,63.69
8/18/2016,63.45
8/19/2016,62.8
8/22/2016,62.79
8/23/2016,63.01
8/24/2016,62.84
8/25/2016,62.83
8/26/2016,62.34
8/29/2016,62.61
8/30/2016,62.17
8/31/2016,61.89
9/1/2016,62.08
9/2/2016,62.53
9/6/2016,63.16
9/7/2016,63.11
9/8/2016,63.08
9/9/2016,61.44
9/12/2016,62.28
9/13/2016,60.79
9/14/2016,60.54
9/15/2016,61.05
9/16/2016,60.64
9/19/2016,60.66
9/20/2016,60.82
9/21/2016,61.97
9/22/2016,62.64
9/23/2016,62.43
9/26/2016,62.02
9/27/2016,62.38
9/28/2016,62.31
9/29/2016,61.96
9/30/2016,61.85
10/3/2016,61.76
10/4/2016,61.26
10/5/2016,60.95
10/6/2016,60.4
10/7/2016,59.95
10/10/2016,60.18
10/11/2016,59.86
10/12/2016,59.88
10/13/2016,59.87
10/14/2016,60.05
10/17/2016,59.95
10/18/2016,60.3
10/19/2016,60.33
10/20/2016,59.76
10/21/2016,59
10/24/2016,58.85
10/25/2016,58.96
10/26/2016,58.82
10/27/2016,59.07
10/28/2016,58.98
10/31/2016,59.03
11/1/2016,58.66
11/2/2016,58.05
