Date,Close
1/2/2014,82.94
1/3/2014,82.7
1/6/2014,82.99
1/7/2014,83.58
1/8/2014,83.48
1/9/2014,82.22
1/10/2014,82.32
1/13/2014,81.53
1/14/2014,82.24
1/15/2014,83.1
1/16/2014,83.23
1/17/2014,83.06
1/21/2014,82.88
1/22/2014,82.94
1/23/2014,82.96
1/24/2014,81.58
1/27/2014,81.77
1/28/2014,81.79
1/29/2014,81.06
1/30/2014,81.41
1/31/2014,81.32
2/3/2014,78.74
2/4/2014,79.3
2/5/2014,79.39
2/6/2014,79.27
2/7/2014,80.08
2/10/2014,79.95
2/11/2014,80.9
2/12/2014,81.2
2/13/2014,82.26
2/14/2014,81.76
2/18/2014,81.38
2/19/2014,81.49
2/20/2014,82.66
2/21/2014,81.89
2/24/2014,81.39
2/25/2014,80.8
2/26/2014,80.28
2/27/2014,81.45
2/28/2014,80.8
3/3/2014,80.82
3/4/2014,82.28
3/5/2014,82.04
3/6/2014,82.1
3/7/2014,81.83
3/10/2014,81.63
3/11/2014,81.3
3/12/2014,81.33
3/13/2014,80.93
3/14/2014,81.18
3/17/2014,82.19
3/18/2014,82.92
3/19/2014,82.57
3/20/2014,84.07
3/21/2014,83.94
3/24/2014,84.08
3/25/2014,84.28
3/26/2014,83.82
3/27/2014,84.27
3/28/2014,84.46
3/31/2014,85.11
4/1/2014,85.87
4/2/2014,86.09
4/3/2014,85.88
4/4/2014,84.95
4/7/2014,84.27
4/8/2014,85.21
4/9/2014,85.17
4/10/2014,84.23
4/11/2014,83.17
4/14/2014,83.56
4/15/2014,83.71
4/16/2014,84.46
4/17/2014,85.16
4/21/2014,85.19
4/22/2014,85.72
4/23/2014,84.25
4/24/2014,83.17
4/25/2014,82.42
4/28/2014,82.72
4/29/2014,83.45
4/30/2014,84.42
5/1/2014,85
5/2/2014,85.27
5/5/2014,85.56
5/6/2014,84.65
5/7/2014,85.16
5/8/2014,85.66
5/9/2014,86.36
5/12/2014,86.9
5/13/2014,86.41
5/14/2014,86.31
5/15/2014,86.45
5/16/2014,87.16
5/19/2014,87.27
5/20/2014,85.92
5/21/2014,85.87
5/22/2014,86.31
5/23/2014,86.74
5/27/2014,86.68
5/28/2014,87.14
5/29/2014,87.41
5/30/2014,87.69
6/2/2014,87.16
6/3/2014,86.44
6/4/2014,86.18
6/5/2014,86.63
6/6/2014,86.48
6/9/2014,86.79
6/10/2014,86.42
6/11/2014,86.13
6/12/2014,85.48
6/13/2014,86.18
6/16/2014,86.25
6/17/2014,86.63
6/18/2014,87.41
6/19/2014,87.35
6/20/2014,87.39
6/23/2014,87.55
6/24/2014,87.1
6/25/2014,87.4
6/26/2014,87.37
6/27/2014,87.73
6/30/2014,87.96
7/1/2014,88.36
7/2/2014,88.38
7/3/2014,88.85
7/7/2014,88.49
7/8/2014,87.78
7/9/2014,88.18
7/10/2014,88.26
7/11/2014,88.74
7/14/2014,89.15
7/15/2014,88.96
7/16/2014,89.25
7/17/2014,88.38
7/18/2014,88.98
7/21/2014,88.31
7/22/2014,88.76
7/23/2014,88.75
7/24/2014,88.82
7/25/2014,88.56
7/28/2014,88.78
7/29/2014,90.96
7/30/2014,90.77
7/31/2014,89
8/1/2014,88.44
8/4/2014,88.43
8/5/2014,88.51
8/6/2014,86.87
8/7/2014,86.14
8/8/2014,86.42
8/11/2014,86.53
8/12/2014,86.73
8/13/2014,86.9
8/14/2014,87.04
8/15/2014,86.8
8/18/2014,87.09
8/19/2014,86.75
8/20/2014,86.81
8/21/2014,86.98
8/22/2014,86.95
8/25/2014,87.34
8/26/2014,87.62
8/27/2014,88.09
8/28/2014,87.95
8/29/2014,88.42
9/2/2014,88.38
9/3/2014,88.31
9/4/2014,88.28
9/5/2014,88.83
9/8/2014,88.66
9/9/2014,87.66
9/10/2014,87.6
9/11/2014,88.29
9/12/2014,88.18
9/15/2014,87.35
9/16/2014,87.8
9/17/2014,87.99
9/18/2014,88.66
9/19/2014,88.96
9/22/2014,88.38
9/23/2014,87.61
9/24/2014,87.91
9/25/2014,86.57
9/26/2014,87.09
9/29/2014,87.05
9/30/2014,87.3
10/1/2014,85.88
10/2/2014,86.27
10/3/2014,86.92
10/6/2014,86.63
10/7/2014,85.93
10/8/2014,86.86
10/9/2014,84.84
10/10/2014,83.62
10/13/2014,82.85
10/14/2014,83.56
10/15/2014,83.98
10/16/2014,83.99
10/17/2014,84.6
10/20/2014,85.24
10/21/2014,86.24
10/22/2014,85.49
10/23/2014,85.56
10/24/2014,85.84
10/27/2014,86.39
10/28/2014,87.88
10/29/2014,87.81
10/30/2014,88.28
10/31/2014,89.12
11/3/2014,89.39
11/4/2014,88.83
11/5/2014,88.64
11/6/2014,87.78
11/7/2014,88.43
11/10/2014,89.02
11/11/2014,88.95
11/12/2014,89.79
11/13/2014,90.08
11/14/2014,90.64
11/17/2014,90.1
11/18/2014,89.99
11/19/2014,88.86
11/20/2014,89.07
11/21/2014,89.37
11/24/2014,89
11/25/2014,88.83
11/26/2014,89.72
11/28/2014,89.91
12/1/2014,88.79
12/2/2014,87.86
12/3/2014,87.44
12/4/2014,87.04
12/5/2014,87.22
12/8/2014,86.57
12/9/2014,85.36
12/10/2014,83.92
12/11/2014,84.49
12/12/2014,82.98
12/15/2014,83.01
12/16/2014,83.09
12/17/2014,84.66
12/18/2014,84.4
12/19/2014,84.48
12/22/2014,85.18
12/23/2014,85.38
12/24/2014,85.55
12/26/2014,86.11
12/29/2014,86.13
12/30/2014,85.51
12/31/2014,84.72
1/2/2015,84.86
1/5/2015,83.62
1/6/2015,82.92
1/7/2015,83.38
1/8/2015,84.53
1/9/2015,84.17
1/12/2015,84.74
1/13/2015,85.03
1/14/2015,84.74
1/15/2015,84.22
1/16/2015,85.5
1/20/2015,85.85
1/21/2015,85.92
1/22/2015,86.48
1/23/2015,85.72
1/26/2015,85.65
1/27/2015,84.9
1/28/2015,84.21
1/29/2015,84.29
1/30/2015,83.11
2/2/2015,84.88
2/3/2015,86.75
2/4/2015,86.98
2/5/2015,87.61
2/6/2015,88.16
2/9/2015,87.94
2/10/2015,88.78
2/11/2015,88.84
2/12/2015,89.11
2/13/2015,89.2
2/17/2015,89.16
2/18/2015,88.58
2/19/2015,88.34
2/20/2015,88.73
2/23/2015,87.97
2/24/2015,88.18
2/25/2015,88.61
2/26/2015,88.34
2/27/2015,88.61
3/2/2015,88.82
3/3/2015,88.7
3/4/2015,88.03
3/5/2015,88.08
3/6/2015,86.58
3/9/2015,86.53
3/10/2015,85.16
3/11/2015,85.29
3/12/2015,86.49
3/13/2015,85.91
3/16/2015,86.73
3/17/2015,86.72
3/18/2015,88.08
3/19/2015,87.78
3/20/2015,88.43
3/23/2015,88.85
3/24/2015,88.26
3/25/2015,86.53
3/26/2015,86.67
3/27/2015,86.72
3/30/2015,87.28
3/31/2015,86.45
4/1/2015,87.83
4/2/2015,88.85
4/6/2015,89.02
4/7/2015,88.44
4/8/2015,88.65
4/9/2015,88.56
4/10/2015,88.58
4/13/2015,88.56
4/14/2015,88.5
4/15/2015,89.13
4/16/2015,88.86
4/17/2015,87.8
4/20/2015,88.91
4/21/2015,88.96
4/22/2015,89.44
4/23/2015,90.76
4/24/2015,90.64
4/27/2015,89.96
4/28/2015,91.28
4/29/2015,91.07
4/30/2015,89.64
5/1/2015,89.69
5/4/2015,89.67
5/5/2015,88.44
5/6/2015,87.39
5/7/2015,86.95
5/8/2015,87.64
