Date,Close
1/4/2010,59.08
1/5/2010,59.12
1/6/2010,59.16
1/7/2010,59.76
1/8/2010,60.08
1/11/2010,60.12
1/12/2010,59.32
1/13/2010,59.92
1/14/2010,59.84
1/15/2010,59.16
1/19/2010,59.56
1/20/2010,59.48
1/21/2010,58.96
1/22/2010,58.4
1/25/2010,58.24
1/26/2010,58.08
1/27/2010,58.44
1/28/2010,58.48
1/29/2010,58.46
2/1/2010,58.52
2/2/2010,59.12
2/3/2010,59.04
2/4/2010,57.8
2/5/2010,58.8
2/8/2010,58.24
2/9/2010,57.84
2/10/2010,57.08
2/11/2010,57.4
2/12/2010,57.48
2/16/2010,58.36
2/17/2010,58.4
2/18/2010,58.56
2/19/2010,58.48
2/22/2010,58.63
2/23/2010,58.76
2/24/2010,59.36
2/25/2010,59.6
2/26/2010,60
3/1/2010,60.12
3/2/2010,60.16
3/3/2010,59.96
3/4/2010,59.92
3/5/2010,60.52
3/8/2010,60.64
3/9/2010,60.76
3/10/2010,60.92
3/11/2010,61.01
3/12/2010,60.83
3/15/2010,61.08
3/16/2010,61.6
3/17/2010,62.08
3/18/2010,61.92
3/19/2010,61.88
3/22/2010,62.16
3/23/2010,61.76
3/24/2010,61.72
3/25/2010,60.08
3/26/2010,60
3/29/2010,60.28
3/30/2010,60.24
3/31/2010,60.44
4/1/2010,60.72
4/5/2010,60.88
4/6/2010,61.2
4/7/2010,61.2
4/8/2010,61.48
4/9/2010,61.64
4/12/2010,61.72
4/13/2010,61.8
4/14/2010,62.4
4/15/2010,62.2
4/16/2010,61.37
4/19/2010,61.32
4/20/2010,62.2
4/21/2010,62.16
4/22/2010,62.32
4/23/2010,62.56
4/26/2010,62.28
4/27/2010,61.08
4/28/2010,61.52
4/29/2010,62.24
4/30/2010,61.48
5/3/2010,62.2
5/4/2010,60.12
5/5/2010,59.4
5/6/2010,57.24
5/7/2010,57.23
5/10/2010,59.2
5/11/2010,59.36
5/12/2010,60.12
5/13/2010,59.8
5/14/2010,58.8
5/17/2010,59.32
5/18/2010,58.28
5/19/2010,57.72
5/20/2010,55.68
5/21/2010,56.64
5/24/2010,56.6
5/25/2010,57.08
5/26/2010,57
5/27/2010,59.16
5/28/2010,59.44
6/1/2010,58.64
6/2/2010,59.24
6/3/2010,59.68
6/4/2010,58.16
6/7/2010,58.2
6/8/2010,58.4
6/9/2010,58.2
6/10/2010,59.44
6/11/2010,59.76
6/14/2010,60.08
6/15/2010,60.39
6/16/2010,60.12
6/17/2010,59.84
6/18/2010,60.43
6/21/2010,60.17
6/22/2010,59.56
6/23/2010,57.64
6/24/2010,57.33
6/25/2010,58
6/28/2010,58.08
6/29/2010,56.88
6/30/2010,56.44
7/1/2010,56.36
7/2/2010,56.12
7/6/2010,55.8
7/7/2010,57.6
7/8/2010,57.8
7/9/2010,58.44
7/12/2010,58.52
7/13/2010,59.4
7/14/2010,58.52
7/15/2010,58.6
7/16/2010,57.4
7/19/2010,57.48
7/20/2010,58.32
7/21/2010,57.6
7/22/2010,58.64
7/23/2010,59.48
7/26/2010,60.28
7/27/2010,60.04
7/28/2010,59.52
7/29/2010,58.88
7/30/2010,58.96
8/2/2010,59.28
8/3/2010,59.04
8/4/2010,59.16
8/5/2010,58.36
8/6/2010,58.6
8/9/2010,58.84
8/10/2010,58.56
8/11/2010,57.66
8/12/2010,57.72
8/13/2010,57.12
8/16/2010,57.32
8/17/2010,57.68
8/18/2010,57.84
8/19/2010,57.32
8/20/2010,57.45
8/23/2010,57.44
8/24/2010,56.8
8/25/2010,56.56
8/26/2010,56.32
8/27/2010,57.16
8/30/2010,56.6
8/31/2010,56.8
9/1/2010,57.84
9/2/2010,57.96
9/3/2010,58.56
9/7/2010,58.04
9/8/2010,58.36
9/9/2010,58.6
9/10/2010,58.48
9/13/2010,59.4
9/14/2010,59.16
9/15/2010,59.28
9/16/2010,59
9/17/2010,59.08
9/20/2010,59.88
9/21/2010,59.16
9/22/2010,58.84
9/23/2010,59.04
9/24/2010,58.4
9/27/2010,58.16
9/28/2010,58.28
9/29/2010,58.44
9/30/2010,58.28
10/1/2010,58.28
10/4/2010,58.48
10/5/2010,58.8
10/6/2010,58.91
10/7/2010,58.68
10/8/2010,58.92
10/11/2010,58.88
10/12/2010,59.28
10/13/2010,59.24
10/14/2010,59.32
10/15/2010,59.16
10/18/2010,59.6
10/19/2010,59.72
10/20/2010,59.88
10/21/2010,59.68
10/22/2010,59.32
10/25/2010,59.36
10/26/2010,58.84
10/27/2010,58.64
10/28/2010,58.44
10/29/2010,58.8
11/1/2010,58.56
11/2/2010,58.96
11/3/2010,58.84
11/4/2010,60.22
11/5/2010,60.52
11/8/2010,60.08
11/9/2010,59.64
11/10/2010,60.12
11/11/2010,60.04
11/12/2010,59.6
11/15/2010,59.52
