Date,Close
1/3/2006,23.44
1/4/2006,23.52
1/5/2006,23.4
1/6/2006,23.5
1/9/2006,23.61
1/10/2006,23.55
1/11/2006,23.57
1/12/2006,23.51
1/13/2006,23.48
1/17/2006,23.39
1/18/2006,23.49
1/19/2006,23.51
1/20/2006,23.17
1/23/2006,23.19
1/24/2006,23.27
1/25/2006,23.29
1/26/2006,23.34
1/27/2006,23.53
1/30/2006,23.44
1/31/2006,23.33
2/1/2006,23.39
2/2/2006,23.38
2/3/2006,23.23
2/6/2006,23.18
2/7/2006,23.07
2/8/2006,23.17
2/9/2006,23.24
2/10/2006,23.21
2/13/2006,23.18
2/14/2006,23.47
2/15/2006,23.62
2/16/2006,23.73
2/17/2006,23.63
2/21/2006,23.6
2/22/2006,23.79
2/23/2006,23.8
2/24/2006,23.68
2/27/2006,23.85
2/28/2006,23.53
3/1/2006,23.62
3/2/2006,23.49
3/3/2006,23.55
3/6/2006,23.47
3/7/2006,23.63
3/8/2006,23.89
3/9/2006,23.93
3/10/2006,24.15
3/13/2006,24.17
3/14/2006,24.11
3/15/2006,24.02
3/16/2006,24.1
3/17/2006,23.96
3/20/2006,24.1
3/21/2006,23.94
3/22/2006,24.16
3/23/2006,23.98
3/24/2006,23.98
3/27/2006,23.9
3/28/2006,23.71
3/29/2006,23.88
3/30/2006,23.69
3/31/2006,23.6
4/3/2006,23.68
4/4/2006,23.66
4/5/2006,23.71
4/6/2006,23.62
4/7/2006,23.41
4/10/2006,23.44
4/11/2006,23.22
4/12/2006,23.3
4/13/2006,23.26
4/17/2006,23.13
4/18/2006,23.35
4/19/2006,23.38
4/20/2006,23.42
4/21/2006,23.42
4/24/2006,23.52
4/25/2006,23.52
4/26/2006,23.74
4/27/2006,23.77
4/28/2006,23.83
5/1/2006,23.82
5/2/2006,23.96
5/3/2006,23.8
5/4/2006,23.84
5/5/2006,24.06
5/8/2006,24.19
5/9/2006,24.26
5/10/2006,24.16
5/11/2006,23.86
5/12/2006,23.67
5/15/2006,23.93
5/16/2006,24.02
5/17/2006,23.72
5/18/2006,23.6
5/19/2006,23.62
5/22/2006,23.69
5/23/2006,23.68
5/24/2006,23.86
5/25/2006,24.09
5/26/2006,24.09
5/30/2006,23.79
5/31/2006,23.88
6/1/2006,24.01
6/2/2006,23.96
6/5/2006,23.62
6/6/2006,23.69
6/7/2006,23.68
