Date,Close
1/3/2006,75.4
1/4/2006,76
1/5/2006,74.95
1/6/2006,76.6
1/9/2006,76.71
1/10/2006,77.3
1/11/2006,77.64
1/12/2006,77.3
1/13/2006,78.32
1/17/2006,79.9
1/18/2006,79.36
1/19/2006,80.58
1/20/2006,80.9
1/23/2006,81.65
1/24/2006,81.3
1/25/2006,79.66
1/26/2006,79.72
1/27/2006,80.97
1/30/2006,82.85
1/31/2006,82.55
2/1/2006,80.65
2/2/2006,80.12
2/3/2006,79.46
2/6/2006,80.75
2/7/2006,77.56
2/8/2006,77.51
2/9/2006,75.83
2/10/2006,75.45
2/13/2006,74.95
2/14/2006,74.21
2/15/2006,73.6
2/16/2006,75.4
2/17/2006,75.7
2/21/2006,77.48
2/22/2006,76.23
2/23/2006,76.04
2/24/2006,76.84
2/27/2006,75.65
2/28/2006,75.05
3/1/2006,76.4
3/2/2006,77.18
3/3/2006,77.35
3/6/2006,75.02
3/7/2006,73.82
3/8/2006,73.93
3/9/2006,73.27
3/10/2006,73.49
3/13/2006,74.68
3/14/2006,76.13
3/15/2006,76.58
3/16/2006,77.5
3/17/2006,76.81
3/20/2006,75.55
3/21/2006,75.21
3/22/2006,75.74
3/23/2006,76.85
3/24/2006,77.48
3/27/2006,77.77
3/28/2006,78.5
3/29/2006,79.46
3/30/2006,79.45
3/31/2006,78.59
4/3/2006,79.08
4/4/2006,80.01
4/5/2006,80.99
4/6/2006,81.17
4/7/2006,79.98
4/10/2006,81.18
4/11/2006,80.6
4/12/2006,80.04
4/13/2006,80.28
4/17/2006,81.53
4/18/2006,83.84
4/19/2006,85.36
4/20/2006,84.42
4/21/2006,86.2
4/24/2006,85.1
4/25/2006,84
4/26/2006,82.9
4/27/2006,81.92
4/28/2006,82.83
5/1/2006,84.22
5/2/2006,86.2
5/3/2006,85.14
5/4/2006,84.74
5/5/2006,85.35
5/8/2006,85.15
5/9/2006,85.73
5/10/2006,86.5
5/11/2006,85.37
5/12/2006,82.6
5/15/2006,80.86
5/16/2006,81.18
5/17/2006,79.13
5/18/2006,77.98
5/19/2006,78.35
5/22/2006,77.82
5/23/2006,77.73
5/24/2006,76.78
5/25/2006,79.52
5/26/2006,79.82
5/30/2006,78.61
5/31/2006,80.34
6/1/2006,80.78
6/2/2006,81.93
6/5/2006,79.39
6/6/2006,79.09
6/7/2006,76.47
6/8/2006,76.74
6/9/2006,76.23
6/12/2006,74.28
6/13/2006,72
6/14/2006,73.73
6/15/2006,76.98
6/16/2006,76.42
6/19/2006,74
6/20/2006,73.3
6/21/2006,74.92
