Date,Close
1/4/2010,85.97
1/5/2010,86.85
1/6/2010,87.85
1/7/2010,87.64
1/8/2010,88.3
1/11/2010,88.23
1/12/2010,86.84
1/13/2010,87.28
1/14/2010,87.52
1/15/2010,86.81
1/19/2010,87.62
1/20/2010,86.18
1/21/2010,84.49
1/22/2010,82.45
1/25/2010,83.08
1/26/2010,82.55
1/27/2010,82.06
1/28/2010,81.25
1/29/2010,79.8
2/1/2010,82.21
2/2/2010,83.54
2/3/2010,82.74
2/4/2010,79.26
2/5/2010,79.12
2/8/2010,78.5
2/9/2010,80.12
2/10/2010,79.85
2/11/2010,81.24
2/12/2010,81.06
2/16/2010,83.02
2/17/2010,82.89
2/18/2010,83.38
2/19/2010,83.68
2/22/2010,82.51
2/23/2010,81.07
2/24/2010,81.58
2/25/2010,81.6
2/26/2010,81.74
3/1/2010,82.65
3/2/2010,83.37
3/3/2010,83.65
3/4/2010,83.26
3/5/2010,84.75
3/8/2010,84.67
3/9/2010,84.71
3/10/2010,85.34
3/11/2010,85.29
3/12/2010,85.38
3/15/2010,84.4
3/16/2010,85.23
3/17/2010,86.04
3/18/2010,84.75
3/19/2010,83.63
3/22/2010,83.52
3/23/2010,83.91
3/24/2010,83.43
3/25/2010,81.98
3/26/2010,82.01
3/29/2010,83.55
3/30/2010,83.6
3/31/2010,84.01
4/1/2010,85.55
4/5/2010,87.13
4/6/2010,87.2
4/7/2010,86.38
4/8/2010,86.76
4/9/2010,87.61
4/12/2010,87.85
4/13/2010,87.44
4/14/2010,88.36
4/15/2010,88.5
4/16/2010,87.08
4/19/2010,87.08
4/20/2010,88.84
4/21/2010,88.69
4/22/2010,88.83
4/23/2010,90.92
4/26/2010,90.6
4/27/2010,87.98
4/28/2010,88.87
4/29/2010,88.88
4/30/2010,87.77
5/3/2010,88.65
5/4/2010,86.32
5/5/2010,85.03
5/6/2010,81.91
5/7/2010,80.33
5/10/2010,83.67
5/11/2010,83.13
5/12/2010,84.37
5/13/2010,83.84
5/14/2010,82.01
5/17/2010,81.24
5/18/2010,80.5
5/19/2010,79.57
5/20/2010,75.95
5/21/2010,77.32
5/24/2010,75.46
5/25/2010,75.46
5/26/2010,75.63
5/27/2010,78.79
5/28/2010,77.29
6/1/2010,73.72
6/2/2010,76.96
6/3/2010,78.06
6/4/2010,75.33
6/7/2010,74.5
6/8/2010,75.8
6/9/2010,74.99
6/10/2010,78.57
6/11/2010,79.05
6/14/2010,78.77
6/15/2010,81.03
6/16/2010,80.96
6/17/2010,80.98
6/18/2010,81.44
6/21/2010,81.19
6/22/2010,78.87
6/23/2010,78.17
6/24/2010,76.49
6/25/2010,76.81
6/28/2010,75.79
6/29/2010,73.22
6/30/2010,72.84
7/1/2010,72.55
7/2/2010,72.32
7/6/2010,72.91
7/7/2010,75.53
7/8/2010,76.5
7/9/2010,76.94
7/12/2010,76.66
7/13/2010,77.63
7/14/2010,77.41
7/15/2010,77.49
7/16/2010,75.32
7/19/2010,75.9
7/20/2010,77.48
7/21/2010,76.42
7/22/2010,78.15
7/23/2010,78.51
7/26/2010,79.38
7/27/2010,79
7/28/2010,78.79
7/29/2010,78.87
7/30/2010,78.69
8/2/2010,81.37
8/3/2010,81.51
8/4/2010,82.21
8/5/2010,82.24
8/6/2010,81.35
8/9/2010,81.75
8/10/2010,80.97
8/11/2010,78.55
8/12/2010,78.13
8/13/2010,77.95
8/16/2010,77.9
8/17/2010,79.29
8/18/2010,78.51
8/19/2010,77.24
8/20/2010,76.26
8/23/2010,76.33
8/24/2010,75.24
8/25/2010,75.08
8/26/2010,74.42
8/27/2010,76.48
8/30/2010,75.41
8/31/2010,75.18
9/1/2010,77.99
9/2/2010,78.66
9/3/2010,79.43
